SPPLEO - Single Point Positioning for LEO satellites
____________________________________________________



Setup data
__________


Input file CMP_05_091_2F_SPPLEO.inp

Loading GPS observation data ...
  loaded /home/ae4872/Resources/Champ/CMP_05_091.rnx
  marker CHAMP
Select GPS observation data ...
  from   2005/04/01  00:00:00.000
  to     2005/04/01  23:59:30.000
  step   all
  first  2005/04/01  00:00:00.000
  last   2005/04/01  23:21:00.000
  total  8400 observations

Processing options:
  Single/dual frequ.       : L1/L2
  Position/velocity        : position only

Spacecraft parameters:
  SP3 s/c ID               : L06
  Antenna offset (XYZ) [m] :   -1.4880   0.0000  -0.3928

Edit limits:
  SNR                      : 0.0
  Elevation [deg]          : 0.0
  Sig(pseudorange) [m]     : 2.000
  Sig(range-rate) [m/s]    : 0.100
  PDOP                     : 6.0
  Min.number of obs.       : 4
  Min.number of obs.       : 4

Data weights:
  Sig(pseudorange) [m]     : 1.500

Loading GPS orbit and clock data ...
  loaded /home/ae4872/Resources/IGS/codx13165.sp3
  first  2005/04/01  00:00:00.000
  last   2005/04/01  23:59:30.000

Loading antenna offsets and patterns ...
  loaded /home/ae4872/Models/CMP_pod_est.atx
  loaded /home/ae4872/Models/igs05_1467_gnss.atx
Earth rotation parameters:
  UT1-UTC [s]              :  -0.573
  UTC-TAI [s]              : -32.000
  GPS-UTC [s]              :  13.000
  x_pole ["]               :  -0.029
  y_pole ["]               :   0.243


Single Point Positioning

  Date        GPS time          x[m]        y[m]        z[m]         cdt[m]   sigr[m] rmsPR[m]  nObs *
2005/04/01  00:23:10.000     5471167.8   1542208.7   3610702.6        11.0      2.27    0.44    8(8) +
2005/04/01  00:23:20.000     5430989.0   1531152.7   3675258.7        -6.3      2.28    0.40    8(8) +
PR  postfit stddev threshold exceeded (2.02m);  discarding PRN G04 (resid   7.34m; SNR 9,17)
2005/04/01  00:23:30.000     5390090.5   1519958.6   3739335.3       -30.7      2.62    0.46    8(9) +
2005/04/01  00:23:40.000     5348474.0   1508624.8   3802920.5       -31.6      2.15    0.40    9(9) +
2005/04/01  00:23:50.000     5306145.7   1497158.1   3866009.7       -37.0      2.95    0.84    8(9) +
2005/04/01  00:24:00.000     5263116.7   1485560.0   3928596.1       -69.6      2.61    0.76    8(9) +
PR  postfit stddev threshold exceeded (2.12m);  discarding PRN G04 (resid  -7.84m; SNR 7,17)
2005/04/01  00:24:10.000     5219377.3   1473829.4   3990659.9       -99.5      2.61    0.28    8(9) +
2005/04/01  00:24:20.000     5174944.2   1461971.8   4052203.8      -112.6      2.61    0.52    8(10) +
PR  postfit stddev threshold exceeded (9.10m);  discarding PRN G22 (resid  29.43m; SNR 3,9)
2005/04/01  00:24:30.000     5129828.5   1449990.7   4113222.7       -92.7      2.61    0.88    8(10) +
2005/04/01  00:24:40.000     5084026.5   1437889.9   4173704.5       -69.3      2.61    0.71    8(10) +
2005/04/01  00:24:50.000     5037540.4   1425664.7   4233631.2       -85.1      2.61    0.74    8(9) +
PR  postfit stddev threshold exceeded (2.54m);  discarding PRN G30 (resid -10.04m; SNR 6,15)
2005/04/01  00:25:00.000     4990392.7   1413328.0   4293016.4       -73.5      3.30    0.40    8(9) +
2005/04/01  00:25:10.000     4942568.8   1400872.8   4351830.2       -46.2      3.30    0.54    8(8) +
2005/04/01  00:25:20.000     4894092.6   1388308.5   4410082.1       -32.9      3.29    0.38    8(8) +
2005/04/01  00:25:30.000     4844955.9   1375633.3   4467751.6       -36.7      3.28    0.38    8(8) +
2005/04/01  00:25:40.000     4795173.8   1362850.8   4524838.3       -66.9      3.27    0.45    8(8) +
2005/04/01  00:25:50.000     4744752.3   1349967.1   4581335.4       -84.9      3.26    0.32    8(8) +
2005/04/01  00:26:00.000     4693693.7   1336978.8   4637232.2       -78.3      3.25    0.95    8(8) +
2005/04/01  00:26:10.000     4642009.4   1323895.8   4692524.2       -86.6      3.24    0.29    8(8) +
2005/04/01  00:26:20.000     4589700.4   1310715.3   4747200.0      -111.2      3.23    0.47    8(8) +
2005/04/01  00:26:30.000     4536775.8   1297439.6   4801255.2      -107.3      3.23    0.19    8(8) +
2005/04/01  00:26:40.000     4483245.9   1284075.0   4854685.7      -100.2      3.22    0.16    8(8) +
2005/04/01  00:26:50.000     4429111.8   1270620.7   4907479.1      -122.5      3.21    0.29    8(8) +
2005/04/01  00:27:00.000     4374382.4   1257081.9   4959629.9      -128.2      3.20    0.45    8(8) +
2005/04/01  00:27:10.000     4319067.7   1243459.3   5011134.6      -112.1      3.20    0.56    8(8) +
2005/04/01  00:27:20.000     4263171.6   1229757.4   5061983.7      -119.3      3.19    0.23    8(8) +
2005/04/01  00:27:30.000     4206699.7   1215976.9   5112169.5      -132.6      3.18    0.39    8(8) +
2005/04/01  00:27:40.000     4149665.4   1202122.7   5161689.1      -112.9      3.17    0.19    8(8) +
2005/04/01  00:27:50.000     4092069.4   1188194.9   5210532.5      -107.2      3.17    0.60    8(8) +
2005/04/01  00:28:00.000     4033923.1   1174197.0   5258696.1      -120.9      3.16    0.48    8(8) +
2005/04/01  00:28:10.000     3975233.8   1160132.1   5306172.8      -109.9      3.16    0.44    8(8) +
2005/04/01  00:28:20.000     3916006.3   1146002.8   5352954.1       -91.2      3.15    0.38    8(8) +
2005/04/01  00:28:30.000     3856249.7   1131811.7   5399036.4      -102.3      3.14    0.52    8(8) +
2005/04/01  00:28:40.000     3795972.6   1117560.6   5444413.1      -108.9      3.14    0.49    8(8) +
2005/04/01  00:28:50.000     3735182.2   1103253.4   5489078.1       -90.4      3.13    0.25    8(8) +
2005/04/01  00:29:00.000     3673887.8   1088891.9   5533028.0       -89.2      3.13    0.48    8(8) +
2005/04/01  00:29:10.000     3612093.6   1074479.0   5576253.4      -101.3      3.12    0.50    8(8) +
2005/04/01  00:29:20.000     3549809.7   1060016.9   5618749.1       -86.5      3.12    0.46    8(8) +
2005/04/01  00:29:30.000     3487045.8   1045508.8   5660511.6       -73.7      3.11    0.51    8(8) +
2005/04/01  00:29:40.000     3423806.8   1030956.6   5701533.7       -91.8      3.11    0.30    8(8) +
2005/04/01  00:29:50.000     3360102.5   1016363.8   5741811.1       -97.1      3.10    0.16    8(8) +
2005/04/01  00:30:00.000     3295941.2   1001731.5   5781339.8       -90.5      2.67    0.31    9(9) +
2005/04/01  00:30:10.000     3231329.1    987062.6   5820110.1      -118.1      2.51    0.85   10(10) +
2005/04/01  00:30:20.000     3166279.7    972362.3   5858123.7      -152.0      2.51    0.21   10(10) +
2005/04/01  00:30:30.000     3100796.9    957629.4   5895369.5      -163.2      2.51    0.94   10(10) +
2005/04/01  00:30:40.000     3034889.2    942869.2   5931845.0      -166.0      2.50    0.86   10(10) +
2005/04/01  00:30:50.000     2968566.8    928081.2   5967546.3      -152.8      2.50    1.19   10(10) +
2005/04/01  00:31:00.000     2901838.9    913271.9   6002470.0      -167.2      2.50    0.68   10(10) +
2005/04/01  00:31:10.000     2834712.6    898440.9   6036607.1      -198.1      2.50    0.99   10(10) +
2005/04/01  00:31:20.000     2767197.1    883592.5   6069957.1      -199.2      2.50    1.52   10(10) +
2005/04/01  00:31:30.000     2699299.9    868726.2   6102515.3      -193.3      2.50    1.23   10(10) +
2005/04/01  00:31:40.000     2631031.2    853847.2   6134276.1      -164.1      2.50    0.52   10(10) +
2005/04/01  00:31:50.000     2562400.3    838958.4   6165232.3      -162.6      2.49    1.21   10(10) +
2005/04/01  00:32:00.000     2493415.0    824060.1   6195385.9      -178.0      2.49    1.43   10(10) +
2005/04/01  00:32:10.000     2424084.9    809156.0   6224732.6      -161.7      2.49    0.93   10(10) +
2005/04/01  00:32:20.000     2354419.1    794248.5   6253264.1      -151.4      2.49    1.29   10(10) +
PR  postfit stddev threshold exceeded (2.32m);  discarding PRN G29 (resid  -7.98m; SNR 7,16)
2005/04/01  00:32:30.000     2284425.0    779338.9   6280983.5      -171.9      2.95    0.58    9(10) +
2005/04/01  00:32:40.000     2214113.9    764431.2   6307877.9      -179.1      2.95    0.68    9(9) +
2005/04/01  00:32:50.000     2143494.5    749528.3   6333948.8      -164.8      2.95    0.60    9(9) +
2005/04/01  00:33:00.000     2072575.3    734628.8   6359194.3      -180.4      2.52    1.37   10(10) +
2005/04/01  00:33:10.000     2001363.6    719739.3   6383607.1      -203.8      2.52    1.10   10(10) +
2005/04/01  00:33:20.000     1929871.8    704860.3   6407189.4      -194.2      2.83    0.24    9(9) +
2005/04/01  00:33:30.000     1858108.5    689995.3   6429930.7      -197.4      2.83    0.51    9(9) +
2005/04/01  00:33:40.000     1786082.7    675144.5   6451839.4      -219.7      2.84    0.55    9(9) +
2005/04/01  00:33:50.000     1713803.4    660311.6   6472903.5      -219.3      2.84    0.75    9(9) +
2005/04/01  00:34:00.000     1641281.6    645499.3   6493117.2      -212.1      2.54    1.03   10(10) +
2005/04/01  00:34:10.000     1568525.3    630709.0   6512487.4      -238.4      2.54    0.85   10(10) +
2005/04/01  00:34:20.000     1495540.9    615942.3   6531007.3      -257.6      2.54    0.76   10(10) +
2005/04/01  00:34:30.000     1422344.4    601203.5   6548675.3      -247.4      2.54    0.60   10(10) +
2005/04/01  00:34:40.000     1348941.9    586492.9   6565485.2      -260.3      2.55    0.79   10(10) +
